PBDB_entry (5148 unique),alphabet_filtered (3580 unique),word_striped (3133 unique),spelling (2364 unique)
docusate/senna,docusatesenna,docusatesenna,docusatesenna
docuste sodium,docuste sodium,docuste,docusate
dolutegravir,dolutegravir,dolutegravir,dolutegravir
dolutegravir (TIVICAY),dolutegravir tivicay,dolutegravir tivicay,dolutegravir tivicay
dornase alfa,dornase alfa,dornase alfa,dornase alfa
dostinex,dostinex,dostinex,dostinex
dosylamine-pyridoxine,dosylamine pyridoxine,dosylamine pyridoxine,doxylamine pyridoxine
doxalamine succinate,doxalamine succinate,doxalamine succinate,doxylamine succinate
doxilamine,doxilamine,doxilamine,doxylamine
doxilamine succinate,doxilamine succinate,doxilamine succinate,doxylamine succinate
doxlamine,doxlamine,doxlamine,doxylamine
doxycycline,doxycycline,doxycycline,doxycycline
doxycycline Hyclate,doxycycline hyclate,doxycycline hyclate,doxycycline hyclate
doxycycline hyclate,doxycycline hyclate,doxycycline hyclate,doxycycline hyclate
doxycycline monohydrate,doxycycline monohydrate,doxycycline monohydrate,doxycycline hyclate
doxylaine,doxylaine,doxylaine,doxylamine
doxylamine,doxylamine,doxylamine,doxylamine
doxylamine - pyridoxine,doxylamine   pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine
doxylamine pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine
doxylamine succinate,doxylamine succinate,doxylamine succinate,doxylamine succinate
doxylamine succinate and pyridoxine,doxylamine succinate and pyridoxine,doxylamine succinate and pyridoxine,doxylamine succinate and pyridoxine
doxylamine- pyridoxine,doxylamine  pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine
doxylamine-Pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine
doxylamine-pyridixine,doxylamine pyridixine,doxylamine pyridixine,doxylamine pyridoxine
doxylamine-pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine
doxylamine-pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine
vit B6,vit b6,vit b6,vi b6
doxylamine-pyroxidine,doxylamine pyroxidine,doxylamine pyroxidine,doxylamine pyridoxine
doxylamine/pyridoxine,doxylaminepyridoxine,doxylaminepyridoxine,doxylaminepyridoxine
doxylanine-pyridoxine,doxylanine pyridoxine,doxylanine pyridoxine,doxylamine pyridoxine
dphenhydramine PRN sleep,dphenhydramine prn sleep,dphenhydramine prn sleep,diphenhydramine prn sleep
dramamine,dramamine,dramamine,dramamine
drisdol,drisdol,drisdol,drisdol
dronabinol,dronabinol,dronabinol,dronabinol
drospirenone,drospirenone,drospirenone,drospirenone
drospirenone- ethinyl estradiol,drospirenone  ethinyl estradiol,drospirenone ethinyl estradiol,drospirenone  ethinyl estradiol
drospirenone-ethinyl estradiol,drospirenone ethinyl estradiol,drospirenone ethinyl estradiol,drospirenone  ethinyl estradiol
dual iron,dual iron,dual iron,dual iron
duflucan,duflucan,duflucan,duflucan
dulaglutide,dulaglutide,dulaglutide,liraglutide
dulcolax,dulcolax,dulcolax,dulcolax
dulera inhaler,dulera inhaler,dulera,dulera
duloxateen,duloxateen,duloxateen,duloxateen
duloxetine,duloxetine,duloxetine,duloxetine
dynapen,dynapen,dynapen,dynapen
dyphenhydramine,dyphenhydramine,dyphenhydramine,diphenhydramine
dyphenhydramine hcl,dyphenhydramine hcl,dyphenhydramine,diphenhydramine
ePHEDrine,ephedrine,ephedrine,ephedrine
edroxyprogesterone,edroxyprogesterone,edroxyprogesterone,medroxyprogesterone
effexor,effexor,effexor,effexor
eicosapentaenoic acid,eicosapentaenoic acid,eicosapentaenoic acid,eicosapentaenoic acid
elavil,elavil,elavil,elavil
elderberry,elderberry,elderberry,elderberry
eletriptan,eletriptan,eletriptan,eletriptan
elexacaftor-tezacaftor-ivacaftor & ivacaftor,elexacaftor tezacaftor ivacaftor  ivacaftor,elexacaftor tezacaftor ivacaftor ivacaftor,elexacaftor tezacaftor ivacaftor ivacaftor
elviteg-cobi-emtric-tenofo ala,elviteg cobi emtric tenofo ala,elviteg cobi emtric tenofo ala,elviteg cobi emtric tenofovir alfa
elviteg/cob/emtri/tenof alafen,elvitegcobemtritenof alafen,elvitegcobemtritenof alafen,elvitegcobemtritenof alafen
emgality,emgality,emgality,emgality
emtricitab-rilpivir-tenofo ala,emtricitab rilpivir tenofo ala,emtricitab rilpivir tenofo ala,emtricitabine rilpivirine tenofovir alfa
emtricitab-rilpivir-tenofo alafen,emtricitab rilpivir tenofo alafen,emtricitab rilpivir tenofo alafen,emtricitabine rilpivirine tenofovir alafen
emtricitabine-tenofovir,emtricitabine tenofovir,emtricitabine tenofovir,emtricitabine tenofovir
emtricitabine-tenofovir alafen,emtricitabine tenofovir alafen,emtricitabine tenofovir alafen,emtricitabine tenofovir alafen
emtricitabine-tenofovir,emtricitabine tenofovir,emtricitabine tenofovir,emtricitabine tenofovir
TDF,tdf,tdf,tdf
emtricitabine-tenofovir,emtricitabine tenofovir,emtricitabine tenofovir,emtricitabine tenofovir
TDF,tdf,tdf,tdf
(TRUVADA)nv,truvadanv,truvadanv,truvadanv
enalapril,enalapril,enalapril,enalapril
endometrin,endometrin,endometrin,endometrin
endometrin vaginal,endometrin vaginal,endometrin,endometrin
enoxaparin,enoxaparin,enoxaparin,enoxaparin
enoxaparin sodium,enoxaparin sodium,enoxaparin,enoxaparin
enoxaparine,enoxaparine,enoxaparine,enoxaparin
ensure,ensure,ensure,ensure
enzymes,enzymes,enzymes,enzyme
ephedrine,ephedrine,ephedrine,ephedrine
epidrin,epidrin,epidrin,epidrin
epifoam,epifoam,epifoam,epifoam
epinephrine,epinephrine,epinephrine,epinephrine
ergocalciferol,ergocalciferol,ergocalciferol,ergocalciferol
ergocalciferol (VITAMIN D2),ergocalciferol vitamin d,ergocalciferol vitamin d,ergocalciferol vitamin d
ertapenem,ertapenem,ertapenem,ertapenem
erthromycin ophthalmic ointment,erthromycin ophthalmic ointment,erthromycin,erythromycin
erythromycin,erythromycin,erythromycin,erythromycin
erythromycin base,erythromycin base,erythromycin base,erythromycin
erythromycin ophthalmic ointment,erythromycin ophthalmic ointment,erythromycin,erythromycin
erythromycin topical,erythromycin topical,erythromycin,erythromycin
escitalopram,escitalopram,escitalopram,escitalopram
escitalopram oxalate,escitalopram oxalate,escitalopram oxalate,escitalopram oxalate
eskalith,eskalith,eskalith,eskalith
esomeprazole,esomeprazole,esomeprazole,esomeprazole
esomeprazole (Nexium) PO Pack,esomeprazole nexium po pack,esomeprazole nexium,esomeprazole nexium
esomeprazole magnesium,esomeprazole magnesium,esomeprazole magnesium,esomeprazole magnesium
esomeprazole sodium,esomeprazole sodium,esomeprazole,esomeprazole
estrace,estrace,estrace,estrace
estradiol,estradiol,estradiol,estradiol
estradiol cream,estradiol cream,estradiol,estradiol
estradiol patch,estradiol patch,estradiol,estradiol
estrogen,estrogen,estrogen,estrone
estrogen patch,estrogen patch,estrogen,estrone
estrogens,estrogens,estrogens,estrogens
estrtradiol,estrtradiol,estrtradiol,estradiol
etanercept,etanercept,etanercept,etanercept
ethambutol,ethambutol,ethambutol,ethambutol
ethinyl estradiol/desogestrel,ethinyl estradioldesogestrel,ethinyl estradioldesogestrel,ethinyl estradiol  norgestrel
ethinyl estradiol/drospirenone,ethinyl estradioldrospirenone,ethinyl estradioldrospirenone,ethinyl estradioldrospirenone
ethinyl estradiol/levonorgestrel,ethinyl estradiollevonorgestrel,ethinyl estradiollevonorgestrel,ethinyl estradiol  levonorgestrel
etodolac,etodolac,etodolac,etodolac
etonogestrel,etonogestrel,etonogestrel,etonogestrel
etonogestrel-ethinyl estradiol,etonogestrel ethinyl estradiol,etonogestrel ethinyl estradiol,desogestrel  ethinyl estradiol
evening,evening,evening,evening
evening primrose,evening primrose,evening primrose,evening primrose oil
evening primrose oil,evening primrose oil,evening primrose oil,evening primrose oil
excedrin,excedrin,excedrin,excedrin
excedrin - PRN,excedrin   prn,excedrin prn,excedrin prn
excedrin migraine,excedrin migraine,excedrin migraine,excedrin migraine
exedrin,exedrin,exedrin,exedrin
extra strength tylenol,extra strength tylenol,extra strength tylenol,extract strength tylenol
faltergravir,faltergravir,faltergravir,raltegravir
famoitidine,famoitidine,famoitidine,famotidine
famotdine,famotdine,famotdine,famotidine
famotidien,famotidien,famotidien,famotidine
famotidine,famotidine,famotidine,famotidine
famotodine,famotodine,famotodine,famotidine
farralet,farralet,farralet,farralet
fe,fe,fe,fe
fecal microbiota transplant,fecal microbiota transplant,fecal microbiota transplant,fecal microbiota transplant
femotidine,femotidine,femotidine,famotidine
fenofibrate,fenofibrate,fenofibrate,fenofibrate
fenofibrate nanocrystallized,fenofibrate nanocrystallized,fenofibrate nanocrystallized,fenofibrate nanocrystallized
fentaNYL,fentanyl,fentanyl,fentanyl
fentaNYL injection,fentanyl injection,fentanyl injection,fentanyl
fentanyl,fentanyl,fentanyl,fentanyl
feosol,feosol,feosol,feosol
fepoly,fepoly,fepoly,fepoly
feriva,feriva,feriva,feriva
ferivafa,ferivafa,ferivafa,ferivafa
ferralet,ferralet,ferralet,ferralet
ferrlecit,ferrlecit,ferrlecit,ferrlecit
ferrou sulfate,ferrou sulfate,ferrou sulfate,ferrous sulfate
ferrous Sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate
ferrous fumarate,ferrous fumarate,ferrous fumarate,ferrous fumarate
ferrous fumarate-folic acid,ferrous fumarate folic acid,ferrous fumarate folic acid,ferrous fumarate folic acid
